species,quad,year,trackID,age,logarea,survives,distEdgeMin,allEdge,QuadName,Grazing,Group,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,Treatment,Period,Treatment2,Treatment3
ARTR,Q1,1932,3,1,5.051224800395343,0,5.76971283708805,0,E1 Q1,no,E1,0,0,0,0.0015364675730336229,0.2821321620025539,0.051460000000000006,Control,Historical,Control,Control
ARTR,Q1,1932,1,1,3.8537114846966825,1,7.1957941827349706e-9,0,E1 Q1,no,E1,0,0,0,0.02531362488560839,5.141945818183518,0.049530000000000005,Control,Historical,Control,Control
ARTR,Q1,1932,2,1,4.870422373769318,1,2.24188783561145,0,E1 Q1,no,E1,1.676880856393836e-16,0,0,6.946352213572478e-4,2.172421058193063,3e-5,Control,Historical,Control,Control
ARTR,Q1,1932,5,1,4.401331789222077,1,-1.95275760006552e-8,0,E1 Q1,no,E1,9.299583325628189e-16,0,0.25752411026800354,5.99446989349464e-5,2.8193176009244745,0.0067399999999999995,Control,Historical,Control,Control
ARTR,Q1,1932,4,1,4.915661655209031,1,7.67280112929136,0,E1 Q1,no,E1,1.3949374988442281e-14,0,0.1909158984317425,0.06070792839708381,0.9622417580150073,1.4000000000000001e-4,Control,Historical,Control,Control
ARTR,Q1,1933,6,1,4.904702299221846,1,11.6781230081257,0,E1 Q1,no,E1,0.1033137576311024,0,0,0.01367046164786509,11.16381886740781,0.0015400000000000001,Control,Historical,Control,Control
ARTR,Q1,1933,5,2,4.5816819831630955,1,9.168957149086051e-9,0,E1 Q1,no,E1,0.028310927368453278,0,0,7.312169267160797e-4,0.37618899055169663,0.05371000000000001,Control,Historical,Control,Control
ARTR,Q1,1933,4,2,5.1270313836917705,1,5.69469411341553,0,E1 Q1,no,E1,8.412825991399584e-17,0.27019524234479586,0.017413948688427168,0.2748015120740702,4.7868968758146595,0.00482,Control,Historical,Control,Control
ARTR,Q1,1933,1,2,4.1220324004902436,1,-1.85389268381186e-8,0,E1 Q1,no,E1,0.14015835693989542,0,0,0.021105508976425158,1.8165940934940144,3e-5,Control,Historical,Control,Control
ARTR,Q1,1933,7,1,3.0619638266745755,1,5.85136751299147,0,E1 Q1,no,E1,0.5594171444866988,0,0.05241038911777599,5.7185671481515284e-5,0.16977067800663412,2.5e-4,Control,Historical,Control,Control
ARTR,Q1,1933,2,2,5.492064341337437,1,2.50678705940615,0,E1 Q1,no,E1,0.07338017025134634,0,0.038554514204527164,2.6593007729112505e-4,2.0796203739849055,3e-5,Control,Historical,Control,Control
ARTR,Q1,1934,5,3,3.5732324236639244,1,0.126283954762869,0,E1 Q1,no,E1,1.627427081984933e-15,0,3.4408314147027925e-4,0.002154599513488432,0.061869807369011216,0.425,Control,Historical,Control,Control
ARTR,Q1,1934,1,3,3.4459239005921902,1,2.99650424578031,0,E1 Q1,no,E1,0.0011056732055536257,0.0031075,0,0.025758391254649654,0.368231787917472,0.04956000000000001,Control,Historical,Control,Control
ARTR,Q1,1934,2,3,5.051455718208347,1,5.35933396468924,0,E1 Q1,no,E1,0.02835886173027724,0,0.015457721040500548,0.004302483674304343,1.1095675181256452,3e-5,Control,Historical,Control,Control
ARTR,Q1,1934,4,3,4.566090245262318,1,6.97301208435003,0,E1 Q1,no,E1,0,0.03938152107268368,0.005477878965676698,0.05249080285824703,5.413455702682815,0.016759999999999997,Control,Historical,Control,Control
ARTR,Q1,1934,6,2,3.6878185277268427,1,20.5665886238811,0,E1 Q1,no,E1,0.2733064295077782,1.262112411478588e-5,0,0.002917183376576218,0.5971612949161389,0.00143,Control,Historical,Control,Control
ARTR,Q1,1934,7,2,3.9795701927215363,1,0.281508173798386,0,E1 Q1,no,E1,0,0,0,0.02469096420172972,0.17295780937691665,0.05625,Control,Historical,Control,Control
ARTR,Q1,1934,9,1,4.01574539676078,1,1.40410572058158e-8,0,E1 Q1,no,E1,0.11628472024547144,0,0.01712760303859693,1.5667193584672064e-4,0.1500968462922904,0.0153,Control,Historical,Control,Control
ARTR,Q1,1935,15,1,-1.3862943611198906,0,39.9942558502892,0,E1 Q1,no,E1,0.031355421485949254,0.01679727950318898,0.0014640278763364697,0.0075252666899016584,19.68969668851377,0.0202,Control,Historical,Control,Control
ARTR,Q1,1935,1,4,3.9872341552859294,1,-1.71808522964056e-8,0,E1 Q1,no,E1,5.1733398706600634e-5,0.0108675,0,0.14206117213169075,1.2055956042384848,0.06822,Control,Historical,Control,Control
ARTR,Q1,1935,14,1,-1.3862943611198906,0,36.6830480347055,0,E1 Q1,no,E1,0.013038561667200797,7.414151152149121e-6,0.02452826355464953,0.020118555952794877,0.627101410133797,5.499999999999999e-4,Control,Historical,Control,Control
ARTR,Q1,1935,4,4,5.293069638989772,1,4.80641910950962,0,E1 Q1,no,E1,0.08463007572754844,0.03302621467935742,0.016482669677394826,0.1970013311450761,1.3856935132228527,0.0019500000000000001,Control,Historical,Control,Control
ARTR,Q1,1935,16,1,-1.3862943611198906,0,4.6283097236021,0,E1 Q1,no,E1,0,0,0.03166066741091535,0.4635210594875577,0.08807486023416808,0,Control,Historical,Control,Control
ARTR,Q1,1935,9,2,4.695031514707987,1,-9.784301147064411e-9,0,E1 Q1,no,E1,0.2194230606032067,0,0.631550479844581,1.2345303905892486e-4,0.15460098057073943,0.0049,Control,Historical,Control,Control
ARTR,Q1,1935,12,1,-1.3862943611198906,0,7.5185253512938,0,E1 Q1,no,E1,7.430532272243934,2.2354037904040802e-6,0,0.014745573893271203,0.058983312325781766,0.0034400000000000003,Control,Historical,Control,Control
ARTR,Q1,1935,6,3,4.380620142454773,1,17.548323030493,0,E1 Q1,no,E1,0.5331336411588234,6.72389040216857e-5,0.01888402369529409,0.012599482405288139,1.6432201668256008,0.00143,Control,Historical,Control,Control
ARTR,Q1,1935,5,4,4.860914285384116,1,0.13938941034381,0,E1 Q1,no,E1,0,0,6.197060829000288e-4,0.0014239462197752821,0.21191279105124827,0.58163,Control,Historical,Control,Control
ARTR,Q1,1935,2,4,5.966270462323449,1,-1.71808522964056e-8,0,E1 Q1,no,E1,0.08865540302159622,0,0.026007839890697316,0.007966848141786597,1.9305155930922502,3e-5,Control,Historical,Control,Control
