species,quad,year,trackID,age,logarea,survives,distEdgeMin,allEdge,QuadName,Grazing,Group,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,Treatment,Period,Treatment2,Treatment3
POSE,Q1,1932,19,1,1.022763099767837,0,6.72889018682912,0,E1 Q1,UG,E1,6.779576948525154,0,1.8846266803935257,0.002550711223617653,26.468565275725705,0,Control,Historical,Control,Control
POSE,Q1,1932,31,1,1.5120819074754752,1,21.0809784956043,0,E1 Q1,UG,E1,0,0,1.4893815733702873e-4,0.6242127900068257,4.9501140936418855,0,Control,Historical,Control,Control
POSE,Q1,1932,88,1,2.632796392978327,1,3.46105815235084,0,E1 Q1,UG,E1,2.451749584768696,0,0.19309283843425745,2.2047168555282002e-4,25.40002935829573,0.28718,Control,Historical,Control,Control
POSE,Q1,1932,87,1,-0.6512424208692353,0,4.9355761485421,0,E1 Q1,UG,E1,0.19195180461303943,0,1.62154822345794,0.0311379904601876,0.08901100037815046,0.048510000000000005,Control,Historical,Control,Control
POSE,Q1,1932,17,1,0.8368859169460215,0,9.89501517236801,0,E1 Q1,UG,E1,17.54417261614905,0,3.796074034998365,0.003624093217804983,10.805913908527204,0,Control,Historical,Control,Control
POSE,Q1,1932,59,1,-0.4342090731119171,0,7.20126829411238,0,E1 Q1,UG,E1,0.38532732467945713,0,0,0.5222412696694397,3.4087501351150427,0.0358,Control,Historical,Control,Control
POSE,Q1,1932,29,1,1.9898922664469199,1,40.8546769627311,0,E1 Q1,UG,E1,0,0,1.143028158305781e-5,0.001493573976667005,6.491938692431039,0,Control,Historical,Control,Control
POSE,Q1,1932,10,1,0.8729091430273319,1,19.7947933214241,0,E1 Q1,UG,E1,0.3532453175663928,0,0.0031776246420837178,0.04719450528324447,1.1661999662817593,1.00479,Control,Historical,Control,Control
POSE,Q1,1932,24,1,2.9637259349092493,1,7.13624721930015,0,E1 Q1,UG,E1,0.09040389809387292,0,0.011702526092412204,0,0.2893987953144123,0,Control,Historical,Control,Control
POSE,Q1,1932,11,1,3.29045073230973,1,18.1619105230882,0,E1 Q1,UG,E1,0.9106537130643354,0,0.505030686510357,0.003919761010410394,0.5498828729158913,1.1e-4,Control,Historical,Control,Control
POSE,Q1,1932,18,1,-0.4121992485769374,0,9.82682694019527,0,E1 Q1,UG,E1,4.401557584377045,0,6.840585306738635,0.002096988501514546,9.538398691989364,0,Control,Historical,Control,Control
POSE,Q1,1932,12,1,2.979220330381622,1,11.4078097133449,0,E1 Q1,UG,E1,1.3799314536564709,0,1.463567063009748,8.597734736379818e-4,1.90735351113528,0,Control,Historical,Control,Control
POSE,Q1,1933,93,1,-0.7540717849027944,0,13.6492737912065,0,E1 Q1,UG,E1,2.521313031282725,0,1.6029700594653067,3.9240683025259006e-6,0.26637631244391624,3e-5,Control,Historical,Control,Control
POSE,Q1,1933,10,2,1.3423423757920718,1,19.4277238123934,0,E1 Q1,UG,E1,0.4173212441880334,0.0013301938609463666,5.5281441242755293e-5,0.07710076306780342,2.534364652925737,1.00143,Control,Historical,Control,Control
POSE,Q1,1933,12,2,0.9164690746337316,1,12.3667628479113,0,E1 Q1,UG,E1,6.797405225705538,1.5432688774666217,0.0067021599668468275,1.4886968657358817,14.502426185334231,0.13594,Control,Historical,Control,Control
