quad,year,trackID,age,distEdgeMin,allEdge,QuadName,Grazing,Group,area.t0,logarea.t0,logarea.t1,species,W.ARTR,W.HECO,W.POSE,W.PSSP,W.allcov,W.allpts,Treatment,Period,inARTR,Treatment2,Treatment3
Q1,1932,2,1,8.93967225020928,0,E1 Q1,UG,E1,3.64560044603941,1.2935210833175967,0.9780632199349841,PSSP,0.20686850058713468,0,0.03023174363709691,0.008360007438480515,9.00553699804463,0.06351,Control,Historical,0,Control,Control
Q1,1932,3,1,13.8057581456489,0,E1 Q1,UG,E1,16.1847469532907,2.7840692526122224,1.3605102496292791,PSSP,0.08779473430435085,0,0,0.0638514928520384,0.14235624874798328,0.15165,Control,Historical,0,Control,Control
Q1,1932,5,1,7.12809801816672,0,E1 Q1,UG,E1,0.61051174081317,-0.49345775414509624,0.14627885376583485,PSSP,0.12175696834683783,0,0,1.350626506386539,0.0864960452723636,0.18272,Control,Historical,0,Control,Control
Q1,1932,6,1,5.99545818582409,0,E1 Q1,UG,E1,0.6067215582744,-0.49968531100044694,-0.43868453565328824,PSSP,0.06083797625162288,0,0,1.1209935536643574,0.05289186158783217,0.27229000000000003,Control,Historical,0,Control,Control
Q1,1932,8,1,7.99549486077708,0,E1 Q1,UG,E1,28.625813332543,3.3543088748346994,3.924650656046281,PSSP,0,0,0.0115226072265136,1.6174505675058923e-4,1.2844678297359626,0.00479,Control,Historical,0,Control,Control
Q1,1932,9,1,3.32166047867609,0,E1 Q1,UG,E1,11.132356277213,2.4098558479316856,2.5536008169569695,PSSP,0.40248027112952506,0,2.0502922384011996e-4,4.5102223618597966e-4,0.0665090168572888,0.04678,Control,Historical,0,Control,Control
Q1,1933,2,2,11.0069074070609,0,E1 Q1,UG,E1,2.65930077031483,0.9780632199349841,0.6444336243454365,PSSP,0.7558581024412018,0,0,1.2600677125451635e-9,4.361452774221276,0.00149,Control,Historical,0,Control,Control
Q1,1933,3,2,12.247094126398,0,E1 Q1,UG,E1,3.89818184026542,1.3605102496292791,1.7999520304893657,PSSP,0.028310927368453316,0,0,0.348415280108189,2.1360240439297278,0.13594,Control,Historical,0,Control,Control
Q1,1933,4,2,4.79380446449795e-9,0,E1 Q1,UG,E1,7.87412836278398,2.0635824944948378,0.3779397533177539,PSSP,0.028310927368453313,0,0,0.5322466587199209,2.724781691787741,0.04667,Control,Historical,0,Control,Control
Q1,1933,8,2,6.65755037219077,0,E1 Q1,UG,E1,50.6353858028028,3.924650656046281,2.4451495796139135,PSSP,0,0,0.0068855134433349,9.001441384350673e-5,1.811847260087017,0.02009,Control,Historical,0,Control,Control
Q1,1933,9,2,1.54708629127516,0,E1 Q1,UG,E1,12.853302946582,2.5536008169569695,2.3724213007423933,PSSP,0.49176921446622923,0,4.0671311679530087e-4,9.288588025077278e-4,2.0267950484431543,0.13635,Control,Historical,0,Control,Control
Q1,1933,12,1,13.8583347566044,0,E1 Q1,UG,E1,0.5669613891609,-0.5674640742910612,-1.3862943611198906,PSSP,2.0250820257003883,1.5760828907387807,1.4068580085817262,1.198117789126434,5.9147890985712825,0.04667,Control,Historical,0,Control,Control
Q1,1933,21,1,5.0721472216409,0,E1 Q1,UG,E1,0.61153248788156,-0.49178719708699575,-0.2876820724517902,PSSP,0.6926552238325525,0,0,0.3060884911630733,17.776486624233584,0.00663,Control,Historical,0,Control,Control
