QuadName,Treatment,Group,year,spp,area,cover
E1 Q1,Control,E1,1922,ARTR,NA,NA
E1 Q2,Control,E1,1922,ARTR,NA,NA
E1 Q3,Control,E1,1922,ARTR,NA,NA
E1 Q4,Control,E1,1922,ARTR,NA,NA
E1 Q5,Control,E1,1922,ARTR,NA,NA
E1 Q6,Control,E1,1922,ARTR,NA,NA
P1 E1 Q1,Control,P1E1,1922,ARTR,NA,NA
P1 E1 Q2,Control,P1E1,1922,ARTR,NA,NA
P1 E1 Q3,Control,P1E1,1922,ARTR,NA,NA
P1 E1 Q4,Control,P1E1,1922,ARTR,NA,NA
P1 Q1,Control,P1,1922,ARTR,NA,NA
P1 Q2,Control,P1,1922,ARTR,NA,NA
P1 Q3,Control,P1,1922,ARTR,NA,NA
P1 Q4,Control,P1,1922,ARTR,NA,NA
P2 Q1,Control,P2,1922,ARTR,NA,NA
P2 Q2,Control,P2,1922,ARTR,NA,NA
P2 Q3,Control,P2,1922,ARTR,NA,NA
P2 Q4,Control,P2,1922,ARTR,NA,NA
P7 E1 Q1,Control,P7E1,1922,ARTR,NA,NA
P7 E1 Q2,Control,P7E1,1922,ARTR,NA,NA
P7 E1 Q3,Control,P7E1,1922,ARTR,NA,NA
P7 E1 Q4,Control,P7E1,1922,ARTR,NA,NA
P10 E1 Q1,Control,P10E1,1922,ARTR,NA,NA
P10 E1 Q2,Control,P10E1,1922,ARTR,NA,NA
P10 E1 Q3,Control,P10E1,1922,ARTR,NA,NA
P10 E1 Q4,Control,P10E1,1922,ARTR,NA,NA
X1,Irrigation,E1,1922,ARTR,NA,NA
X2,Drought,E1,1922,ARTR,NA,NA
X5,Drought,E1,1922,ARTR,NA,NA
X6,Irrigation,E1,1922,ARTR,NA,NA
X7,Irrigation,E1,1922,ARTR,NA,NA
X8,Drought,E1,1922,ARTR,NA,NA
X11,Drought,E1,1922,ARTR,NA,NA
X12,Irrigation,E1,1922,ARTR,NA,NA
X13,Drought,E1,1922,ARTR,NA,NA
X14,Irrigation,E1,1922,ARTR,NA,NA
X15,Drought,E1,1922,ARTR,NA,NA
X16,Irrigation,E1,1922,ARTR,NA,NA
X17,Drought,E1,1922,ARTR,NA,NA
X18,Irrigation,E1,1922,ARTR,NA,NA
X19,Irrigation,E1,1922,ARTR,NA,NA
X20,Drought,E1,1922,ARTR,NA,NA
E1 Q1,Control,E1,1923,ARTR,NA,NA
E1 Q2,Control,E1,1923,ARTR,NA,NA
E1 Q3,Control,E1,1923,ARTR,NA,NA
E1 Q4,Control,E1,1923,ARTR,NA,NA
E1 Q5,Control,E1,1923,ARTR,NA,NA
E1 Q6,Control,E1,1923,ARTR,NA,NA
P1 E1 Q1,Control,P1E1,1923,ARTR,0.002871104089557,0.2871104089557
P1 E1 Q2,Control,P1E1,1923,ARTR,0.018684044910902,1.8684044910902
P1 E1 Q3,Control,P1E1,1923,ARTR,NA,NA
P1 E1 Q4,Control,P1E1,1923,ARTR,NA,NA
P1 Q1,Control,P1,1923,ARTR,NA,NA
P1 Q2,Control,P1,1923,ARTR,NA,NA
P1 Q3,Control,P1,1923,ARTR,NA,NA
P1 Q4,Control,P1,1923,ARTR,NA,NA
P2 Q1,Control,P2,1923,ARTR,NA,NA
P2 Q2,Control,P2,1923,ARTR,NA,NA
P2 Q3,Control,P2,1923,ARTR,NA,NA
P2 Q4,Control,P2,1923,ARTR,NA,NA
P7 E1 Q1,Control,P7E1,1923,ARTR,0.004214977241910001,0.42149772419100007
P7 E1 Q2,Control,P7E1,1923,ARTR,0.005701874086120999,0.5701874086120999
P7 E1 Q3,Control,P7E1,1923,ARTR,NA,NA
P7 E1 Q4,Control,P7E1,1923,ARTR,NA,NA
P10 E1 Q1,Control,P10E1,1923,ARTR,NA,NA
P10 E1 Q2,Control,P10E1,1923,ARTR,NA,NA
P10 E1 Q3,Control,P10E1,1923,ARTR,NA,NA
P10 E1 Q4,Control,P10E1,1923,ARTR,NA,NA
X1,Irrigation,E1,1923,ARTR,NA,NA
X2,Drought,E1,1923,ARTR,NA,NA
X5,Drought,E1,1923,ARTR,NA,NA
X6,Irrigation,E1,1923,ARTR,NA,NA
X7,Irrigation,E1,1923,ARTR,NA,NA
X8,Drought,E1,1923,ARTR,NA,NA
X11,Drought,E1,1923,ARTR,NA,NA
X12,Irrigation,E1,1923,ARTR,NA,NA
X13,Drought,E1,1923,ARTR,NA,NA
X14,Irrigation,E1,1923,ARTR,NA,NA
X15,Drought,E1,1923,ARTR,NA,NA
X16,Irrigation,E1,1923,ARTR,NA,NA
X17,Drought,E1,1923,ARTR,NA,NA
X18,Irrigation,E1,1923,ARTR,NA,NA
X19,Irrigation,E1,1923,ARTR,NA,NA
X20,Drought,E1,1923,ARTR,NA,NA
E1 Q1,Control,E1,1924,ARTR,NA,NA
E1 Q2,Control,E1,1924,ARTR,NA,NA
E1 Q3,Control,E1,1924,ARTR,NA,NA
E1 Q4,Control,E1,1924,ARTR,NA,NA
E1 Q5,Control,E1,1924,ARTR,NA,NA
E1 Q6,Control,E1,1924,ARTR,NA,NA
P1 E1 Q1,Control,P1E1,1924,ARTR,NA,NA
P1 E1 Q2,Control,P1E1,1924,ARTR,NA,NA
P1 E1 Q3,Control,P1E1,1924,ARTR,NA,NA
P1 E1 Q4,Control,P1E1,1924,ARTR,NA,NA
P1 Q1,Control,P1,1924,ARTR,NA,NA
P1 Q2,Control,P1,1924,ARTR,NA,NA
P1 Q3,Control,P1,1924,ARTR,NA,NA
P1 Q4,Control,P1,1924,ARTR,NA,NA
P2 Q1,Control,P2,1924,ARTR,NA,NA
P2 Q2,Control,P2,1924,ARTR,NA,NA
P2 Q3,Control,P2,1924,ARTR,NA,NA
P2 Q4,Control,P2,1924,ARTR,NA,NA
P7 E1 Q1,Control,P7E1,1924,ARTR,NA,NA
P7 E1 Q2,Control,P7E1,1924,ARTR,NA,NA
P7 E1 Q3,Control,P7E1,1924,ARTR,NA,NA
P7 E1 Q4,Control,P7E1,1924,ARTR,NA,NA
P10 E1 Q1,Control,P10E1,1924,ARTR,NA,NA
P10 E1 Q2,Control,P10E1,1924,ARTR,NA,NA
P10 E1 Q3,Control,P10E1,1924,ARTR,NA,NA
P10 E1 Q4,Control,P10E1,1924,ARTR,NA,NA
X1,Irrigation,E1,1924,ARTR,NA,NA
X2,Drought,E1,1924,ARTR,NA,NA
X5,Drought,E1,1924,ARTR,NA,NA
X6,Irrigation,E1,1924,ARTR,NA,NA
X7,Irrigation,E1,1924,ARTR,NA,NA
X8,Drought,E1,1924,ARTR,NA,NA
X11,Drought,E1,1924,ARTR,NA,NA
X12,Irrigation,E1,1924,ARTR,NA,NA
X13,Drought,E1,1924,ARTR,NA,NA
X14,Irrigation,E1,1924,ARTR,NA,NA
X15,Drought,E1,1924,ARTR,NA,NA
X16,Irrigation,E1,1924,ARTR,NA,NA
X17,Drought,E1,1924,ARTR,NA,NA
X18,Irrigation,E1,1924,ARTR,NA,NA
X19,Irrigation,E1,1924,ARTR,NA,NA
X20,Drought,E1,1924,ARTR,NA,NA
E1 Q1,Control,E1,1925,ARTR,NA,NA
E1 Q2,Control,E1,1925,ARTR,NA,NA
E1 Q3,Control,E1,1925,ARTR,NA,NA
E1 Q4,Control,E1,1925,ARTR,NA,NA
E1 Q5,Control,E1,1925,ARTR,NA,NA
E1 Q6,Control,E1,1925,ARTR,NA,NA
P1 E1 Q1,Control,P1E1,1925,ARTR,NA,NA
P1 E1 Q2,Control,P1E1,1925,ARTR,NA,NA
P1 E1 Q3,Control,P1E1,1925,ARTR,NA,NA
P1 E1 Q4,Control,P1E1,1925,ARTR,NA,NA
P1 Q1,Control,P1,1925,ARTR,NA,NA
P1 Q2,Control,P1,1925,ARTR,NA,NA
P1 Q3,Control,P1,1925,ARTR,NA,NA
P1 Q4,Control,P1,1925,ARTR,NA,NA
P2 Q1,Control,P2,1925,ARTR,NA,NA
P2 Q2,Control,P2,1925,ARTR,NA,NA
P2 Q3,Control,P2,1925,ARTR,NA,NA
P2 Q4,Control,P2,1925,ARTR,NA,NA
P7 E1 Q1,Control,P7E1,1925,ARTR,NA,NA
P7 E1 Q2,Control,P7E1,1925,ARTR,NA,NA
P7 E1 Q3,Control,P7E1,1925,ARTR,NA,NA
P7 E1 Q4,Control,P7E1,1925,ARTR,NA,NA
P10 E1 Q1,Control,P10E1,1925,ARTR,NA,NA
P10 E1 Q2,Control,P10E1,1925,ARTR,NA,NA
P10 E1 Q3,Control,P10E1,1925,ARTR,NA,NA
P10 E1 Q4,Control,P10E1,1925,ARTR,NA,NA
X1,Irrigation,E1,1925,ARTR,NA,NA
X2,Drought,E1,1925,ARTR,NA,NA
X5,Drought,E1,1925,ARTR,NA,NA
X6,Irrigation,E1,1925,ARTR,NA,NA
X7,Irrigation,E1,1925,ARTR,NA,NA
X8,Drought,E1,1925,ARTR,NA,NA
X11,Drought,E1,1925,ARTR,NA,NA
X12,Irrigation,E1,1925,ARTR,NA,NA
X13,Drought,E1,1925,ARTR,NA,NA
X14,Irrigation,E1,1925,ARTR,NA,NA
X15,Drought,E1,1925,ARTR,NA,NA
X16,Irrigation,E1,1925,ARTR,NA,NA
X17,Drought,E1,1925,ARTR,NA,NA
X18,Irrigation,E1,1925,ARTR,NA,NA
X19,Irrigation,E1,1925,ARTR,NA,NA
X20,Drought,E1,1925,ARTR,NA,NA
E1 Q1,Control,E1,1926,ARTR,NA,NA
E1 Q2,Control,E1,1926,ARTR,NA,NA
E1 Q3,Control,E1,1926,ARTR,NA,NA
E1 Q4,Control,E1,1926,ARTR,NA,NA
E1 Q5,Control,E1,1926,ARTR,NA,NA
E1 Q6,Control,E1,1926,ARTR,NA,NA
P1 E1 Q1,Control,P1E1,1926,ARTR,0.002640950900261,0.2640950900261
P1 E1 Q2,Control,P1E1,1926,ARTR,0.006599731852957,0.6599731852957
P1 E1 Q3,Control,P1E1,1926,ARTR,NA,NA
P1 E1 Q4,Control,P1E1,1926,ARTR,NA,NA
P1 Q1,Control,P1,1926,ARTR,NA,NA
P1 Q2,Control,P1,1926,ARTR,NA,NA
P1 Q3,Control,P1,1926,ARTR,NA,NA
P1 Q4,Control,P1,1926,ARTR,NA,NA
P2 Q1,Control,P2,1926,ARTR,NA,NA
P2 Q2,Control,P2,1926,ARTR,NA,NA
P2 Q3,Control,P2,1926,ARTR,NA,NA
P2 Q4,Control,P2,1926,ARTR,NA,NA
P7 E1 Q1,Control,P7E1,1926,ARTR,0.0025184599101019996,0.25184599101019994
P7 E1 Q2,Control,P7E1,1926,ARTR,0.004388877971224,0.4388877971224
P7 E1 Q3,Control,P7E1,1926,ARTR,NA,NA
P7 E1 Q4,Control,P7E1,1926,ARTR,NA,NA
P10 E1 Q1,Control,P10E1,1926,ARTR,NA,NA
P10 E1 Q2,Control,P10E1,1926,ARTR,NA,NA
P10 E1 Q3,Control,P10E1,1926,ARTR,NA,NA
P10 E1 Q4,Control,P10E1,1926,ARTR,NA,NA
X1,Irrigation,E1,1926,ARTR,NA,NA
X2,Drought,E1,1926,ARTR,NA,NA
X5,Drought,E1,1926,ARTR,NA,NA
X6,Irrigation,E1,1926,ARTR,NA,NA
X7,Irrigation,E1,1926,ARTR,NA,NA
X8,Drought,E1,1926,ARTR,NA,NA
X11,Drought,E1,1926,ARTR,NA,NA
X12,Irrigation,E1,1926,ARTR,NA,NA
X13,Drought,E1,1926,ARTR,NA,NA
X14,Irrigation,E1,1926,ARTR,NA,NA
X15,Drought,E1,1926,ARTR,NA,NA
X16,Irrigation,E1,1926,ARTR,NA,NA
X17,Drought,E1,1926,ARTR,NA,NA
X18,Irrigation,E1,1926,ARTR,NA,NA
X19,Irrigation,E1,1926,ARTR,NA,NA
X20,Drought,E1,1926,ARTR,NA,NA
E1 Q1,Control,E1,1927,ARTR,NA,NA
E1 Q2,Control,E1,1927,ARTR,NA,NA
E1 Q3,Control,E1,1927,ARTR,NA,NA
E1 Q4,Control,E1,1927,ARTR,NA,NA
E1 Q5,Control,E1,1927,ARTR,NA,NA
E1 Q6,Control,E1,1927,ARTR,NA,NA
P1 E1 Q1,Control,P1E1,1927,ARTR,NA,NA
P1 E1 Q2,Control,P1E1,1927,ARTR,0.035358066647268,3.5358066647268
P1 E1 Q3,Control,P1E1,1927,ARTR,NA,NA
P1 E1 Q4,Control,P1E1,1927,ARTR,NA,NA
P1 Q1,Control,P1,1927,ARTR,NA,NA
P1 Q2,Control,P1,1927,ARTR,NA,NA
P1 Q3,Control,P1,1927,ARTR,NA,NA
P1 Q4,Control,P1,1927,ARTR,NA,NA
P2 Q1,Control,P2,1927,ARTR,NA,NA
P2 Q2,Control,P2,1927,ARTR,NA,NA
P2 Q3,Control,P2,1927,ARTR,NA,NA
P2 Q4,Control,P2,1927,ARTR,NA,NA
P7 E1 Q1,Control,P7E1,1927,ARTR,0,0
P7 E1 Q2,Control,P7E1,1927,ARTR,0.022398886118294,2.2398886118294
P7 E1 Q3,Control,P7E1,1927,ARTR,NA,NA
P7 E1 Q4,Control,P7E1,1927,ARTR,NA,NA
P10 E1 Q1,Control,P10E1,1927,ARTR,NA,NA
P10 E1 Q2,Control,P10E1,1927,ARTR,NA,NA
P10 E1 Q3,Control,P10E1,1927,ARTR,NA,NA
P10 E1 Q4,Control,P10E1,1927,ARTR,NA,NA
X1,Irrigation,E1,1927,ARTR,NA,NA
X2,Drought,E1,1927,ARTR,NA,NA
X5,Drought,E1,1927,ARTR,NA,NA
X6,Irrigation,E1,1927,ARTR,NA,NA
X7,Irrigation,E1,1927,ARTR,NA,NA
X8,Drought,E1,1927,ARTR,NA,NA
X11,Drought,E1,1927,ARTR,NA,NA
X12,Irrigation,E1,1927,ARTR,NA,NA
