year,Treatment,avg_VWC,Period
1925,Control,15.532531186250203,Historical
1925,Drought,10.197941441684803,Historical
1925,Irrigation,22.73403230671391,Historical
1926,Control,13.32812821996549,Historical
1926,Drought,9.045231474365822,Historical
1926,Irrigation,19.79545410183759,Historical
1927,Control,16.169781238966987,Historical
1927,Drought,10.883822482548675,Historical
1927,Irrigation,23.957461454639784,Historical
1928,Control,12.780006162784693,Historical
1928,Drought,8.731210196103863,Historical
1928,Irrigation,19.175641816421834,Historical
1929,Control,12.455272423101704,Historical
1929,Drought,8.394890807049734,Historical
1929,Irrigation,18.343831003572674,Historical
1930,Control,13.865225671055804,Historical
1930,Drought,9.183636513055482,Historical
1930,Irrigation,20.56039348642716,Historical
1931,Control,12.665466377534104,Historical
1931,Drought,8.644262910938602,Historical
1931,Irrigation,18.80043666290562,Historical
1932,Control,11.191020279493998,Historical
1932,Drought,7.434298868647474,Historical
1932,Irrigation,16.430403348942725,Historical
1933,Control,11.480679937821785,Historical
1933,Drought,7.701939784594909,Historical
1933,Irrigation,16.99104796940694,Historical
1934,Control,14.854049452200549,Historical
1934,Drought,9.8444290348952,Historical
1934,Irrigation,22.06066955357403,Historical
1935,Control,16.3882138682514,Historical
1935,Drought,11.026343564001671,Historical
1935,Irrigation,24.150706139345218,Historical
1936,Control,12.570535320868084,Historical
1936,Drought,8.44362236862563,Historical
1936,Irrigation,18.53514178291866,Historical
1937,Control,11.031678293292423,Historical
1937,Drought,7.397284127099284,Historical
1937,Irrigation,16.34828334442254,Historical
1938,Control,16.721572489200526,Historical
1938,Drought,11.158368438805581,Historical
1938,Irrigation,24.531821705618025,Historical
1939,Control,13.14675924163699,Historical
1939,Drought,8.893524359221487,Historical
1939,Irrigation,19.437996056468673,Historical
1940,Control,15.154133634012634,Historical
1940,Drought,10.073057543253299,Historical
1940,Irrigation,22.314988353692392,Historical
1941,Control,15.46538259464347,Historical
1941,Drought,10.363414343620853,Historical
1941,Irrigation,22.804207165866774,Historical
1942,Control,14.785065216203012,Historical
1942,Drought,9.960190607678117,Historical
1942,Irrigation,21.77369454551238,Historical
1943,Control,14.227222937471486,Historical
1943,Drought,9.507744722338435,Historical
1943,Irrigation,21.073196842368322,Historical
