date,PRCP,TMEAN,rainfall,prerain,prcp_event,total_rain,year,days_since_rain,inv_days_since_rain
1925-01-01,2.5,-5.3,not rainy,FALSE,0,2.5,1925,1,2.5
1925-01-02,0,-8.1,not rainy,FALSE,0,2.5,1925,2,1.25
1925-01-03,0,-9.75,not rainy,FALSE,0,2.5,1925,3,0.8333333333333334
1925-01-04,0,-5.25,not rainy,FALSE,0,2.5,1925,4,0.625
1925-01-05,0,-8.899999999999999,not rainy,FALSE,0,2.5,1925,5,0.5
1925-01-06,0,NA,not rainy,FALSE,0,2.5,1925,6,0.4166666666666667
1925-01-07,0,NA,not rainy,FALSE,0,2.5,1925,7,0.35714285714285715
1925-01-08,0,NA,not rainy,FALSE,0,2.5,1925,8,0.3125
1925-01-09,0,NA,not rainy,FALSE,0,2.5,1925,9,0.2777777777777778
1925-01-10,0,-20.25,not rainy,FALSE,0,2.5,1925,10,0.25
1925-01-11,0,NA,not rainy,FALSE,0,2.5,1925,11,0.22727272727272727
1925-01-12,5.8,-13.35,not rainy,FALSE,0,8.3,1925,12,0.6916666666666668
1925-01-13,0,-7.8,not rainy,FALSE,0,8.3,1925,13,0.6384615384615385
1925-01-14,3.8,-6.699999999999999,not rainy,FALSE,0,12.100000000000001,1925,14,0.8642857142857144
1925-01-15,0,NA,not rainy,FALSE,0,12.100000000000001,1925,15,0.8066666666666668
1925-01-16,0,-8.6,not rainy,FALSE,0,12.100000000000001,1925,16,0.7562500000000001
1925-01-17,0,-7.25,not rainy,FALSE,0,12.100000000000001,1925,17,0.7117647058823531
1925-01-18,0,-4.449999999999999,not rainy,FALSE,0,12.100000000000001,1925,18,0.6722222222222223
1925-01-19,0,-4.449999999999999,not rainy,FALSE,0,12.100000000000001,1925,19,0.636842105263158
1925-01-20,0,-3.35,not rainy,FALSE,0,12.100000000000001,1925,20,0.6050000000000001
1925-01-21,0,-1.9000000000000004,not rainy,FALSE,0,12.100000000000001,1925,21,0.5761904761904763
1925-01-22,0,-1.6500000000000004,not rainy,FALSE,0,12.100000000000001,1925,22,0.55
1925-01-23,0,-2.8,not rainy,FALSE,0,12.100000000000001,1925,23,0.5260869565217392
1925-01-24,4.1,-0.25,not rainy,FALSE,0,16.200000000000003,1925,24,0.6750000000000002
1925-01-25,0,-5.85,not rainy,FALSE,0,16.200000000000003,1925,25,0.6480000000000001
1925-01-26,0,-5,not rainy,FALSE,0,16.200000000000003,1925,26,0.6230769230769232
1925-01-27,0,-5.3,not rainy,FALSE,0,16.200000000000003,1925,27,0.6000000000000001
1925-01-28,0,-5.8500000000000005,not rainy,FALSE,0,16.200000000000003,1925,28,0.5785714285714286
1925-01-29,0,-2.75,not rainy,FALSE,0,16.200000000000003,1925,29,0.5586206896551725
1925-01-30,0,0.5499999999999998,not rainy,FALSE,0,16.200000000000003,1925,30,0.5400000000000001
1925-01-31,0,-2.5,not rainy,FALSE,0,16.200000000000003,1925,31,0.5225806451612904
1925-02-01,0,-2.5,not rainy,FALSE,0,16.200000000000003,1925,32,0.5062500000000001
1925-02-02,7.6,-1.1,not rainy,FALSE,0,23.800000000000004,1925,33,0.7212121212121213
1925-02-03,2,2.8,not rainy,FALSE,0,25.800000000000004,1925,34,0.7588235294117648
1925-02-04,4.3,0.55,not rainy,FALSE,0,30.100000000000005,1925,35,0.8600000000000001
1925-02-05,6.6,1.15,not rainy,FALSE,0,36.7,1925,36,1.0194444444444446
